"laufindexFolge";"id";"questionNumber";"typ";"fragetextAktuellerBeruf";"fragetextVergangenerBeruf";"antwort.pos";"antwort.text";"antwort.kldb";"antwort.isco";"followUp"
431;"1837";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
432;"1837";1;"";"";"";"1";"Ja";"92114";"2431";NA
433;"1837";1;"";"";"";"2";"Nein";"92113";"2431";NA
434;"1838";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
435;"1838";1;"";"";"";"1";"Ja";"92414";"2642";NA
436;"1838";1;"";"";"";"2";"Nein";"92413";"2642";NA
437;"1839";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
438;"1839";1;"";"";"";"2";"eine abgeschlossene Berufsausbildung";"93102";"2163";NA
439;"1839";1;"";"";"";"3";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"93103";"2163";NA
440;"1839";1;"";"";"";"4";"ein abgeschlossenes Bachelorstudium";"93103";"2163";NA
441;"1839";1;"";"";"";"5";"ein abgeschlossenes Masterstudium";"93104";"2163";NA
442;"1840";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
443;"1840";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"93212";"3432";NA
444;"1840";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"93213";"3432";NA
445;"1840";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"93213";"3432";NA
446;"1840";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"93214";"2161";NA
447;"1841";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
448;"1841";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"93522";"7313";NA
449;"1841";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"93523";"2163";NA
450;"1841";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"93523";"2163";NA
451;"1841";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"93524";"2163";NA
452;"1842";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
453;"1842";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"94532";"3521";NA
454;"1842";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"94533";"3521";NA
455;"1842";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"94533";"3521";NA
456;"1842";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"94534";"2654";NA
457;"1843";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
458;"1843";1;"";"";"";"1";"Ja";"24124";"2146";NA
459;"1843";1;"";"";"";"2";"Nein";"24123";"3135";NA
460;"1844";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
461;"1844";1;"";"";"";"1";"Ja";"24134";"2146";NA
462;"1844";1;"";"";"";"2";"Nein";"24133";"3117";NA
463;"1845";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
464;"1845";1;"";"";"";"1";"Ja";"24304";"2146";NA
465;"1845";1;"";"";"";"2";"Nein";"24303";"3116";NA
466;"1846";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
467;"1846";1;"";"";"";"1";"Ja";"24414";"2142";NA
468;"1846";1;"";"";"";"2";"Nein";"24413";"3112";NA
469;"1847";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
470;"1847";1;"";"";"";"1";"Ja";"24524";"2144";NA
471;"1847";1;"";"";"";"2";"Nein";"24523";"3115";NA
472;"1848";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?";"";"";"";"";""
473;"1848";1;"";"";"";"1";"Ja";"24524";"2144";NA
474;"1848";1;"";"";"";"2";"Nein";"24523";"3115";NA
475;"1849";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
476;"1849";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"61312";"3334";NA
477;"1849";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"61313";"3334";NA
478;"1849";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"61313";"3334";NA
479;"1849";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"61314";"3334";NA
480;"1850";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
481;"1850";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"61312";"3334";NA
482;"1850";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"61313";"3334";NA
483;"1850";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"61313";"3334";NA
484;"1850";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"61314";"3334";NA
485;"1851";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
486;"1851";1;"";"";"";"1";"Ja";"11194";"1311";"FALSE"
487;"1851";1;"";"";"";"2";"Nein";"11193";"6130";NA
488;"1851";2;"sonstige";"Über welche landwirtschaftliche Tätigkeit führen Sie Aufsicht?";"Über welche landwirtschaftliche Tätigkeit haben Sie Aufsicht geführt?";"";"";"";"";""
489;"1851";2;"";"";"";"1";"Über den Anbau von Gemüse und Ackerbau";"11193";"6111";NA
490;"1851";2;"";"";"";"2";"Über das Sammeln von landwirtschaftlich interessanten Daten wie beispielsweise zur Einhaltung der Qualitätsstandards";"11193";"3142";NA
491;"1851";2;"";"";"";"3";"Keine der vorigen Antworten trifft zu";"11193";"6130";NA
492;"1853";1;"sonstige";"Stellen Sie hauptsächlich Drähte, Drahtgewebe oder Federn her?";"Haben Sie hauptsächlich Drähte, Drahtgewebe oder Federn hergestellt?";"";"";"";"";""
493;"1853";1;"";"";"";"1";"Ja";"24212";"7221";NA
494;"1853";1;"";"";"";"2";"Nein";"24212";"7223";NA
495;"1854";1;"spezialisierung";"Arbeiten Sie vorwiegend im Hochbau oder im Tiefbau?";"Haben Sie vorwiegend im Hochbau oder im Tiefbau gearbeitet?";"";"";"";"";""
496;"1854";1;"";"";"";"1";"Hochbau (d.h. Errichtung von Gebäuden)";"32101";"9313";NA
497;"1854";1;"";"";"";"2";"Tiefbau (d.h. Bauarbeiten an Rohrleitungen, Tunneln, Straßen, Brücken, Kanälen, Gleisen usw.)";"32201";"9312";NA
498;"1856";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
499;"1856";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"34302";"7126";NA
500;"1856";1;"";"";"";"2";"eine berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"34303";"3115";NA
501;"1856";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"34303";"3115";NA
502;"1856";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"34304";"2144";NA
503;"2104";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
504;"2104";1;"";"";"";"1";"Ja";"26233";"3131";NA
505;"2104";1;"";"";"";"2";"Nein";"26232";"8182";NA
506;"2109";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?";"";"";"";"";""
507;"2109";1;"";"";"";"1";"Ja";"26253";"3113";NA
508;"2109";1;"";"";"";"2";"Nein";"26252";"7412";NA
509;"2115";1;"sonstige";"Arbeiten Sie hauptsächlich an elektronischen Geräten oder an elektrischen Anlagen und Maschinen?";"Haben Sie hauptsächlich an elektronischen Geräten oder an elektrischen Anlagen und Maschinen gearbeitet?";"";"";"";"";""
510;"2115";1;"";"";"";"1";"an elektronischen Geräten";"26302";"7421";NA
511;"2115";1;"";"";"";"2";"an elektrischen Anlagen und Maschinen";"26302";"7412";NA
512;"2124";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
513;"2124";1;"";"";"";"1";"Ja";"25194";"1321";NA
514;"2124";1;"";"";"";"2";"Nein";"25193";"3122";NA
515;"2126";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
516;"2126";1;"";"";"";"1";"Ja";"25294";"1321";NA
517;"2126";1;"";"";"";"2";"Nein";"25293";"3122";NA
518;"2143";1;"anforderungsniveau";"Welche Ausbildung ist für diese Tätigkeit in der Regel erforderlich?";"Welche Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
519;"2143";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"27182";"3119";NA
520;"2143";1;"";"";"";"2";"eine berufliche Weiterbildung";"27183";"3119";NA
521;"2143";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"27183";"3119";NA
522;"2143";1;"";"";"";"4";"ein abgeschlossenes Masterstudium";"27184";"2149";NA
523;"2149";1;"sonstige";"Mit welchem Material arbeiten Sie hauptsächlich?";"Mit welchem Material haben Sie hauptsächlich gearbeitet?";"";"";"";"";""
524;"2149";1;"";"";"";"2";"Holz";"27232";"7522";NA
525;"2149";1;"";"";"";"3";"Metall";"27232";"7222";NA
526;"2149";1;"";"";"";"4";"unterschiedliche Materialien";"27232";"7222";NA
527;"2154";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
528;"2154";1;"";"";"";"1";"Ja";"27294";"1223";NA
529;"2154";1;"";"";"";"2";"Nein";"27293";"3122";NA
530;"2155";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
531;"2155";1;"";"";"";"1";"Ja";"27394";"1321";NA
532;"2155";1;"";"";"";"2";"Nein";"27393";"3122";NA
533;"3010";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
534;"3010";1;"";"";"";"1";"Ja";"33393";"3123";NA
535;"3010";1;"";"";"";"2";"Nein";"33352";"8219";NA
536;"3013";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
537;"3013";1;"";"";"";"1";"Ja";"33393";"3123";NA
538;"3013";1;"";"";"";"2";"Nein";"33312";"7124";NA
539;"3017";1;"aufsicht";"Gehört es zu Ihren beruflichen Aufgaben, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"Hat es zu Ihren beruflichen Aufgaben gehört, die Arbeit anderer Arbeitnehmer zu beaufsichtigen oder ihnen zu sagen, was sie tun müssen?";"";"";"";"";""
540;"3017";1;"";"";"";"1";"Ja";"33393";"3123";NA
541;"3017";1;"";"";"";"2";"Nein";"33342";"7125";NA
542;"3205";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
543;"3205";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"71302";"4322";NA
544;"3205";1;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"71303";"4322";NA
545;"3205";1;"";"";"";"3";"ein Bachelorstudium der Betriebswirtschaftslehre, Wirtschaftswissenschaften oder eines vergleichbaren Fachs";"71303";"4322";NA
546;"3206";1;"anforderungsniveau";"Welche Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Ausbildung war für Ihre Tätigkeit in der Regel erforderlich?";"";"";"";"";""
547;"3206";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"71302";"4110";NA
548;"3206";1;"";"";"";"2";"eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten";"71303";"3343";NA
549;"3206";1;"";"";"";"3";"ein Bachelorstudium der Betriebswirtschaftslehre, Wirtschaftswissenschaften oder eines vergleichbaren Fachs";"71303";"3343";NA
550;"3211";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
551;"3211";1;"";"";"";"1";"Ja";"71394";"1213";NA
552;"3211";1;"";"";"";"2";"Nein";"71393";"3341";NA
553;"3214";1;"sonstige";"Welcher Art sind Ihre Übersetzungen?";"Welcher Art waren Ihre Übersetzungen?";"";"";"";"";""
554;"3214";1;"";"";"";"1";"simultanes oder konsekutives Dolmetschen auf Basis einer entsprechenden Ausbildung";"71424";"2643";NA
555;"3214";1;"";"";"";"2";"Übersetzung von literarischen Texten oder anspruchsvollen Fachtexten auf Basis einer entsprechenden Ausbildung";"71424";"2643";NA
556;"3214";1;"";"";"";"3";"Live-Übersetzung in die Gebärdensprache zur Assistenz von Gehörlosen";"71424";"2643";NA
557;"3214";1;"";"";"";"4";"andere Übersetzungsleistungen";"71423";"2643";NA
558;"3215";1;"sonstige";"Schreiben Sie Wortprotokolle mittels stenographischer Methoden von Verhandlungen in Parlamenten oder Gerichten?";"Haben Sie Wortprotokolle mittels stenographischer Methoden von Verhandlungen in Parlamenten oder Gerichten geschrieben?";"";"";"";"";""
559;"3215";1;"";"";"";"1";"Ja";"71433";"3343";NA
560;"3215";1;"";"";"";"2";"Nein";"71432";"4131";NA
561;"3216";1;"sonstige";"Ist Ihre Tätigkeit auf die Überprüfung von Übersetzungen fremdsprachlicher Texte spezialisiert?";"War Ihre Tätigkeit auf die Überprüfung von Übersetzungen fremdsprachlicher Texte spezialisiert?";"";"";"";"";""
562;"3216";1;"";"";"";"1";"Nein";"71442";"4413";NA
563;"3216";1;"";"";"";"2";"Ja";"71412";"2643";NA
564;"3219";1;"spezialisierung";"Welche Aufgaben führen Sie dabei in der Regel aus?";"Welche Aufgaben haben Sie dabei in der Regel ausgeführt?";"";"";"";"";""
565;"3219";1;"";"";"";"1";"kaufmännische Aufgaben im Rahmen von grenzüberschreitenden Wirtschaftsbeziehungen (z.B. Import- und Exportaufträge bearbeiten, fremdsprachige Rechnungen ausstellen)";"71413";"4419";NA
566;"3219";1;"";"";"";"2";"Assistenzaufgaben im Büro oder Sekretariat (z.B. Schriftstücke und Protokolle übersetzen, Besprechungen und Konferenzen vorbereiten und organisieren)";"71412";"4419";NA
567;"3221";1;"spezialisierung";"Welche Aufgaben führen Sie dabei in der Regel aus?";"Welche Aufgaben haben Sie dabei in der Regel ausgeführt?";"";"";"";"";""
568;"3221";1;"";"";"";"1";"Rechnungen, Formulare und andere Aufzeichnungen im Computer eintragen";"71401";"4132";NA
569;"3221";1;"";"";"";"2";"Dokumente kopieren und abheften";"71401";"4415";NA
570;"3221";1;"";"";"";"3";"Formulare, Belege und andere Dokumente sortieren";"71442";"4413";NA
571;"3221";1;"";"";"";"4";"Rundschreiben und Kuverts adressieren";"71442";"4413";NA
572;"3221";1;"";"";"";"5";"unterschiedliche Bürotätigkeiten";"71401";"4110";NA
573;"3222";1;"spezialisierung";"Welche Aufgaben führen Sie dabei in der Regel aus?";"Welche Aufgaben haben Sie dabei in der Regel ausgeführt?";"";"";"";"";""
574;"3222";1;"";"";"";"1";"persönliche Unterstützung von Führungskräften bei organisatorische Aufgaben";"71403";"3343";NA
575;"3222";1;"";"";"";"2";"Korrespondenz mit Auslandskontakten in einer Fremdsprache";"71412";"4419";NA
576;"3222";1;"";"";"";"3";"Schreiben und Beantworten von Geschäftsbriefen, technischen Schriften oder Verträgen";"71403";"3343";NA
577;"3222";1;"";"";"";"4";"Überprüfung und Formatierung von Texten sowie Erledigung des routinemäßigen Schriftverkehrs";"71402";"4120";NA
578;"3222";1;"";"";"";"5";"Erledigung verschiedener Büro- und Verwaltungstätigkeiten nach vorgegebenen Verfahren";"71402";"4110";NA
579;"3518";1;"sonstige";"Arbeiten Sie im Bereich Informations- und Kommunikationstechnologie?";"Haben Sie im Bereich Informations- und Kommunikationstechnologie gearbeitet?";"";"";"";"";""
580;"3518";1;"";"";"";"1";"Ja";"43223";"2434";NA
581;"3518";1;"";"";"";"2";"Nein";"92133";"2431";NA
582;"3529";1;"anforderungsniveau";"Ist für Ihre Tätigkeit in der Regel eine Prüfung zum Fachwirt erforderlich?";"War für diese Tätigkeit in der Regel eine Prüfung zum Fachwirt erforderlich?";"";"";"";"";""
583;"3529";1;"";"";"";"1";"Ja";"73113";"3342";NA
584;"3529";1;"";"";"";"2";"Nein";"73112";"3342";NA
585;"3530";1;"sonstige";"Welche Prüfung oder Zulassung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Prüfung oder Zulassung war für Ihre Tätigkeit in der Regel erforderlich?";"";"";"";"";""
586;"3530";1;"";"";"";"1";"Zulassung zur Rechtsanwaltschaft erforderlich";"73134";"2611";NA
587;"3530";1;"";"";"";"2";"erstes juristisches Staatsexamen erforderlich";"73184";"2619";NA
588;"3530";1;"";"";"";"3";"erstes juristischen Staatsexamen nicht erforderlich";"73183";"3411";NA
589;"3534";1;"anforderungsniveau";"Sind Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"Waren Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"";"";"";"";""
590;"3534";1;"";"";"";"1";"im mittleren Dienst oder vergleichbar";"73162";"3355";NA
591;"3534";1;"";"";"";"2";"im gehobenen Dienst oder vergleichbar";"73163";"3355";NA
592;"3534";1;"";"";"";"3";"im höheren Dienst oder vergleichbar";"73164";"2422";NA
593;"3537";1;"aufsicht";"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?";"";"";"";"";""
594;"3537";1;"";"";"";"1";"Ja";"73194";"1349";NA
595;"3537";1;"";"";"";"2";"Nein";"73194";"2619";NA
596;"3541";1;"anforderungsniveau";"Sind Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"Waren Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"";"";"";"";""
597;"3541";1;"";"";"";"1";"im mittleren Dienst oder vergleichbar";"73252";"3411";NA
598;"3541";1;"";"";"";"2";"im gehobenen Dienst oder vergleichbar";"73253";"3411";NA
599;"3541";1;"";"";"";"3";"im höheren Dienst oder vergleichbar";"73254";"2619";NA
600;"3544";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
601;"3544";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"73212";"3353";NA
602;"3544";1;"";"";"";"2";"eine berufliche Weiterbildung";"73213";"3353";NA
603;"3544";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"73213";"3353";NA
604;"3550";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
605;"3550";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"73202";"3354";NA
606;"3550";1;"";"";"";"2";"eine abgeschlossene berufliche Weiterbildung mit Mindestdauer 1 Jahr";"73203";"3354";NA
607;"3550";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"73203";"3354";NA
608;"3551";1;"anforderungsniveau";"Sind Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"Waren Sie Beamte/r im mittleren, gehobenen oder höheren Dienst?";"";"";"";"";""
609;"3551";1;"";"";"";"1";"im mittleren Dienst oder vergleichbar";"73232";"3352";NA
610;"3551";1;"";"";"";"2";"im gehobenen Dienst oder vergleichbar";"73233";"3352";NA
611;"3551";1;"";"";"";"3";"im höheren Dienst oder vergleichbar";"73234";"2411";NA
612;"3552";1;"anforderungsniveau";"Sind Sie Beamte/r im einfachen, mittleren, gehobenen oder höheren Dienst?";"Waren Sie Beamte/r im einfachen, mittleren, gehobenen oder höheren Dienst?";"";"";"";"";""
613;"3552";1;"";"";"";"1";"im einfachen Dienst oder vergleichbar";"73241";"3351";NA
614;"3552";1;"";"";"";"2";"im mittleren Dienst oder vergleichbar";"73242";"3351";NA
615;"3552";1;"";"";"";"3";"im gehobenen Dienst oder vergleichbar";"73243";"3351";NA
616;"3552";1;"";"";"";"4";"im höheren Dienst oder vergleichbar";"73244";"3351";NA
617;"3553";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
618;"3553";1;"";"";"";"1";"eine abgeschlossene Berufsausbilung";"73312";"4415";NA
619;"3553";1;"";"";"";"2";"eine Ausbildung für eine Laufbahn im gehobenen Dienst";"73313";"2621";NA
620;"3553";1;"";"";"";"3";"eine Ausbildung für eine Laufbahn im höheren Dienst";"73314";"2621";NA
621;"3555";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
622;"3555";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"73332";"4419";NA
623;"3555";1;"";"";"";"2";"eine berufliche Weiterbildung";"73333";"3433";NA
624;"3555";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium im Bereich bibliotheks- oder informationswissenschaften";"73333";"3433";NA
625;"3555";1;"";"";"";"4";"ein abgeschlossenes Masterstudium im Bereich bibliotheks- oder informationswissenschaften";"73334";"2622";NA
626;"3573";1;"sonstige";"Berichten Sie persönlich an das übergeordnete Management?";"Haben Sie persönlich an das übergeordnete Management berichtet?";"";"";"";"";""
627;"3573";1;"";"";"";"1";"Ja";"72234";"2411";NA
628;"3573";1;"";"";"";"2";"Nein";"72233";"3313";NA
629;"3577";1;"spezialisierung";"Welche Aufgaben führen Sie dabei in der Regel aus?";"Welche Aufgaben haben Sie dabei in der Regel ausgeführt?";"";"";"";"";""
630;"3577";1;"";"";"";"1";"individuelle Beratung und Unterstützung bei der Vermögensverwaltung";"72124";"2412";NA
631;"3577";1;"";"";"";"2";"Vermittlung und Durchführung von Geld- und Wertpapiergeschäften";"72123";"3311";NA
632;"3577";1;"";"";"";"3";"Sekretariatstätigkeiten und Aktenführung über durchgeführte Transaktionen";"72122";"4312";NA
633;"3577";1;"";"";"";"4";"Unterstützung des verantwortlichen Personals bei Handels- und Beratungsaktivitäten";"72122";"3311";NA
634;"3581";1;"sonstige";"Arbeiten Sie unter Aufsicht einer verantwortlichen Person oder sind Sie selber für die Prüfergebnisse verantwortlich?";"Haben Sie unter Aufsicht einer verantwortlichen Person gearbeitet oder waren Sie selber für die Prüfergebnisse verantwortlich?";"";"";"";"";""
635;"3581";1;"";"";"";"1";"Arbeit unter Aufsicht einer verantwortlichen Person";"72243";"2411";NA
636;"3581";1;"";"";"";"2";"selber verantwortlich";"72244";"2411";NA
637;"3584";1;"anforderungsniveau";"Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?";"Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
638;"3584";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"72132";"3321";NA
639;"3584";1;"";"";"";"2";"eine berufliche Weiterbildung";"72133";"3321";NA
640;"3584";1;"";"";"";"3";"ein abgeschlossenes Bachelorstudium";"72133";"3321";NA
641;"3585";1;"anforderungsniveau";"Welche Ausbildung ist für diese Tätigkeit in der Regel erforderlich?";"Welche Ausbildung war für diese Tätigkeit in der Regel erforderlich?";"";"";"";"";""
642;"3585";1;"";"";"";"1";"eine abgeschlossene Berufsausbildung";"72132";"3315";NA
643;"3585";1;"";"";"";"2";"eine berufliche Weiterbildung";"72133";"3321";NA
